0.03,0.32,0.28,0.2,0.17,53.18
0.19,0.19,0.26,0.32,0.04,53.2
0.04,0.41,0.26,0.24,0.05,53.21
0.24,0.07,0.33,0.33,0.03,53.22
0.18,0.27,0.19,0.15,0.21,53.23
0.31,0.17,0.14,0.35,0.04,53.24
0.1,0.09,0.55,0.22,0.03,53.25
0.37,0.23,0.13,0.14,0.14,53.28
0.07,0.42,0.29,0.16,0.07,53.29
0.38,0.1,0.26,0.15,0.11,53.29
0.4,0.15,0.01,0.38,0.06,53.3
0.34,0.07,0.16,0.16,0.27,53.31
0.0,0.18,0.42,0.12,0.27,53.35
0.35,0.07,0.1,0.19,0.28,53.36
0.33,0.02,0.25,0.1,0.3,53.39
0.04,0.57,0.21,0.17,0.02,53.39
0.5,0.17,0.09,0.12,0.12,53.41
0.12,0.19,0.45,0.03,0.21,53.41
0.01,0.49,0.18,0.05,0.27,53.41
0.0,0.68,0.1,0.06,0.16,53.42
0.3,0.16,0.11,0.11,0.32,53.42
0.05,0.37,0.4,0.07,0.11,53.43
0.08,0.45,0.22,0.01,0.23,53.46
0.35,0.12,0.33,0.06,0.14,53.46
0.23,0.28,0.08,0.07,0.34,53.47
0.31,0.04,0.08,0.41,0.16,53.51
0.46,0.26,0.09,0.12,0.06,53.53
0.08,0.16,0.19,0.39,0.19,53.54
0.48,0.14,0.2,0.09,0.09,53.56
0.36,0.0,0.08,0.23,0.32,53.56
0.3,0.13,0.01,0.22,0.33,53.58
0.62,0.09,0.1,0.14,0.06,53.59
0.19,0.11,0.1,0.4,0.21,53.6
0.49,0.05,0.02,0.06,0.38,53.63
0.15,0.45,0.28,0.05,0.07,53.65
0.38,0.17,0.34,0.04,0.08,53.72
0.12,0.4,0.38,0.01,0.09,53.73
0.18,0.04,0.22,0.56,0.0,53.76
0.07,0.4,0.47,0.04,0.03,53.82
0.06,0.05,0.26,0.31,0.32,53.82
0.32,0.01,0.01,0.42,0.25,53.85
0.06,0.64,0.25,0.03,0.03,53.92
0.06,0.05,0.39,0.05,0.45,53.92
0.22,0.12,0.16,0.03,0.47,53.97
0.21,0.08,0.03,0.57,0.1,54.04
0.08,0.08,0.32,0.06,0.47,54.04
0.25,0.01,0.03,0.37,0.34,54.13
0.65,0.11,0.18,0.02,0.04,54.2
0.46,0.39,0.12,0.0,0.03,54.24
0.03,0.22,0.14,0.06,0.54,54.46
